gene,CPTAC_Mutations,CPTAC_Silenced,CPTAC_Expressed,CPTAC_Percent,AURORA_Mutations,AURORA_Silenced,AURORA_Expressed,AURORA_Percent,Mean_Pct,Diff,Total_Muts
FOXJ3,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
DYM,4,0,4,0.0,6,0,6,0.0,0.0,0.0,10
TAB3,4,0,4,0.0,6,0,6,0.0,0.0,0.0,10
GTSE1,3,0,3,0.0,6,0,6,0.0,0.0,0.0,9
DENND5A,3,0,3,0.0,6,0,6,0.0,0.0,0.0,9
AGRN,3,0,3,0.0,6,0,6,0.0,0.0,0.0,9
HPS4,3,0,3,0.0,6,0,6,0.0,0.0,0.0,9
FEM1C,3,0,3,0.0,6,0,6,0.0,0.0,0.0,9
LILRB4,4,0,4,0.0,5,0,5,0.0,0.0,0.0,9
NOTCH1,5,0,5,0.0,4,0,4,0.0,0.0,0.0,9
CHML,3,0,3,0.0,6,0,6,0.0,0.0,0.0,9
AFF4,3,0,3,0.0,6,0,6,0.0,0.0,0.0,9
AKT1,5,0,5,0.0,3,0,3,0.0,0.0,0.0,8
MAPK8,3,0,3,0.0,5,0,5,0.0,0.0,0.0,8
IGHMBP2,3,0,3,0.0,5,0,5,0.0,0.0,0.0,8
JMJD6,3,0,3,0.0,5,0,5,0.0,0.0,0.0,8
CACTIN,4,0,4,0.0,4,0,4,0.0,0.0,0.0,8
ATXN1,3,0,3,0.0,5,0,5,0.0,0.0,0.0,8
ZNF592,3,0,3,0.0,5,0,5,0.0,0.0,0.0,8
DGKQ,4,0,4,0.0,4,0,4,0.0,0.0,0.0,8
ACE,3,0,3,0.0,5,0,5,0.0,0.0,0.0,8
PKD2,3,0,3,0.0,5,0,5,0.0,0.0,0.0,8
ZNF862,4,0,4,0.0,4,0,4,0.0,0.0,0.0,8
GAA,3,0,3,0.0,5,0,5,0.0,0.0,0.0,8
RBM15,4,0,4,0.0,4,0,4,0.0,0.0,0.0,8
PIAS3,3,0,3,0.0,5,0,5,0.0,0.0,0.0,8
PJA1,3,0,3,0.0,5,0,5,0.0,0.0,0.0,8
KANSL1,4,0,4,0.0,4,0,4,0.0,0.0,0.0,8
GBP1,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
GCDH,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
FLT3LG,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
GTF3C5,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
ISG20L2,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
E2F6,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
ATXN1L,4,0,4,0.0,3,0,3,0.0,0.0,0.0,7
MCL1,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
MAPKAPK2,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
RB1,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
NUFIP2,4,0,4,0.0,3,0,3,0.0,0.0,0.0,7
REXO1,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
CHD8,3,0,3,0.0,4,0,4,0.0,0.0,0.0,7
